epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
31,2033.3,0.37425,0.53132,0.30394,0.86041,0.99981,1,0.995,0.98675,0.99981,1,0.995,0.89975,0.22659,0.41796,0.16493,0.7902,0.008515,0.008515,0.008515
32,2095.24,0.37089,0.53628,0.30632,0.85528,0.99976,1,0.995,0.98153,0.99976,1,0.995,0.90313,0.24229,0.41944,0.16334,0.79448,0.0084655,0.0084655,0.0084655
33,2156.81,0.36958,0.52853,0.30615,0.85527,0.99896,1,0.995,0.983,0.99896,1,0.995,0.90267,0.24696,0.41615,0.16639,0.80014,0.008416,0.008416,0.008416
34,2218.75,0.36664,0.52216,0.30553,0.85384,0.99963,0.99936,0.995,0.98617,0.99963,0.99936,0.995,0.89708,0.23991,0.43104,0.1698,0.79388,0.0083665,0.0083665,0.0083665
35,2280.38,0.36114,0.51913,0.29418,0.85272,0.99975,1,0.995,0.98802,0.99975,1,0.995,0.89694,0.22811,0.40963,0.16398,0.79482,0.008317,0.008317,0.008317
36,2342.68,0.36827,0.53585,0.30246,0.85466,0.99981,1,0.995,0.9892,0.99981,1,0.995,0.89691,0.22991,0.41645,0.15531,0.79254,0.0082675,0.0082675,0.0082675
37,2405.11,0.35957,0.51723,0.29656,0.85047,0.99978,1,0.995,0.98955,0.99978,1,0.995,0.89606,0.22654,0.41682,0.1582,0.78995,0.008218,0.008218,0.008218
38,2467.19,0.36038,0.51133,0.294,0.8563,0.99951,1,0.995,0.98684,0.99951,1,0.995,0.89699,0.2306,0.41205,0.15592,0.79306,0.0081685,0.0081685,0.0081685
39,2529.47,0.3604,0.51316,0.28938,0.85442,0.99957,1,0.995,0.9892,0.99957,1,0.995,0.90644,0.22297,0.40651,0.15415,0.79004,0.008119,0.008119,0.008119
40,2591.73,0.35468,0.51694,0.28253,0.85259,0.99923,1,0.995,0.99001,0.99923,1,0.995,0.89977,0.21158,0.39414,0.14742,0.78764,0.0080695,0.0080695,0.0080695
41,2653.73,0.3612,0.5113,0.28662,0.85052,0.9995,0.9999,0.995,0.98857,0.9995,0.9999,0.995,0.9034,0.22316,0.40644,0.1507,0.79027,0.00802,0.00802,0.00802
42,2715.2,0.35394,0.50929,0.28428,0.85292,0.99981,1,0.995,0.98856,0.99981,1,0.995,0.89733,0.22895,0.4104,0.14914,0.79281,0.0079705,0.0079705,0.0079705
43,2776.02,0.35163,0.51158,0.27714,0.85324,0.99946,0.99939,0.995,0.98958,0.99946,0.99939,0.995,0.8987,0.22574,0.40927,0.14706,0.7904,0.007921,0.007921,0.007921
44,2838.08,0.35124,0.5095,0.28187,0.85006,0.99981,1,0.995,0.98688,0.99981,1,0.995,0.89034,0.22674,0.40959,0.15378,0.78913,0.0078715,0.0078715,0.0078715
45,2899.8,0.35046,0.511,0.27947,0.84902,0.99977,1,0.995,0.98998,0.99977,1,0.995,0.90052,0.2112,0.40275,0.14778,0.78791,0.007822,0.007822,0.007822
46,2962.01,0.3493,0.5008,0.26928,0.85196,0.9998,1,0.995,0.98883,0.9998,1,0.995,0.90076,0.2195,0.40241,0.14679,0.79035,0.0077725,0.0077725,0.0077725
47,3024.01,0.34862,0.5004,0.27341,0.84683,0.99972,1,0.995,0.99021,0.99972,1,0.995,0.90121,0.21964,0.40224,0.15065,0.7863,0.007723,0.007723,0.007723
48,3085.84,0.34443,0.50155,0.26701,0.8502,0.99976,0.99933,0.995,0.98948,0.99976,0.99933,0.995,0.90135,0.22871,0.39906,0.14675,0.79022,0.0076735,0.0076735,0.0076735
49,3148.45,0.34388,0.49361,0.26344,0.84688,0.99982,1,0.995,0.98993,0.99982,1,0.995,0.89932,0.21633,0.39744,0.14528,0.78853,0.007624,0.007624,0.007624
