epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
30,1969.1,0.46218,0.64742,0.43595,0.88187,0.99895,0.99843,0.99495,0.96922,0.99895,0.99843,0.99495,0.87722,0.29847,0.50457,0.24079,0.80955,0.0085645,0.0085645,0.0085645
31,2030.24,0.45638,0.63204,0.43134,0.88054,0.99948,0.99966,0.995,0.96281,0.99948,0.99966,0.995,0.88339,0.29806,0.49212,0.21974,0.80961,0.008515,0.008515,0.008515
32,2091.52,0.45966,0.63891,0.43675,0.87815,0.99731,0.99731,0.995,0.96006,0.99731,0.99731,0.995,0.88227,0.30595,0.48787,0.22865,0.81046,0.0084655,0.0084655,0.0084655
33,2152.85,0.4573,0.63031,0.43644,0.87772,0.9965,0.9996,0.995,0.96492,0.9965,0.9996,0.995,0.88594,0.30269,0.47784,0.22904,0.80874,0.008416,0.008416,0.008416
34,2214.45,0.45383,0.62583,0.42827,0.87596,0.9985,0.99868,0.995,0.95931,0.9985,0.99868,0.995,0.87302,0.30305,0.4963,0.22158,0.81049,0.0083665,0.0083665,0.0083665
35,2276.38,0.44891,0.6151,0.41573,0.87689,0.9988,1,0.995,0.97061,0.9988,1,0.995,0.88768,0.29066,0.47385,0.21856,0.8063,0.008317,0.008317,0.008317
36,2338.13,0.4538,0.64009,0.41822,0.87592,0.99953,0.99984,0.995,0.97131,0.99953,0.99984,0.995,0.88728,0.28328,0.47268,0.2095,0.80231,0.0082675,0.0082675,0.0082675
37,2400.01,0.44712,0.62082,0.41974,0.87501,0.9983,0.99889,0.99499,0.96878,0.9983,0.99889,0.99499,0.87369,0.29592,0.48846,0.22209,0.80512,0.008218,0.008218,0.008218
38,2462.16,0.44977,0.61913,0.41344,0.8789,0.99923,0.99831,0.995,0.96674,0.99923,0.99831,0.995,0.88292,0.30376,0.48183,0.21816,0.80899,0.0081685,0.0081685,0.0081685
39,2523.18,0.4466,0.61923,0.40696,0.87626,0.99971,0.99961,0.995,0.9698,0.99971,0.99961,0.995,0.88486,0.28629,0.47705,0.20951,0.80365,0.008119,0.008119,0.008119
