epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
31,1804.4,0.39884,0.54787,0.35701,0.84432,0.99967,1,0.995,0.98627,0.99967,1,0.995,0.89462,0.23669,0.43695,0.16313,0.75901,0.008515,0.008515,0.008515
32,1859.2,0.39786,0.55362,0.35888,0.84182,0.9995,0.99987,0.995,0.98618,0.9995,0.99987,0.995,0.89743,0.23987,0.42958,0.15818,0.75841,0.0084655,0.0084655,0.0084655
33,1914.2,0.39863,0.55002,0.36005,0.84303,0.99956,0.99931,0.995,0.98004,0.99956,0.99931,0.995,0.89222,0.25511,0.43712,0.16844,0.75929,0.008416,0.008416,0.008416
34,1969.29,0.39413,0.54308,0.35605,0.83898,0.99979,1,0.995,0.9832,0.99979,1,0.995,0.8889,0.24517,0.44039,0.16054,0.75958,0.0083665,0.0083665,0.0083665
35,2024.38,0.38492,0.5376,0.34729,0.83869,0.99977,0.99937,0.995,0.98686,0.99977,0.99937,0.995,0.89675,0.2313,0.4183,0.15457,0.75794,0.008317,0.008317,0.008317
36,2079.92,0.39373,0.55786,0.34811,0.83985,0.99979,1,0.995,0.98668,0.99979,1,0.995,0.89546,0.2372,0.42948,0.16022,0.75744,0.0082675,0.0082675,0.0082675
37,2134.67,0.38766,0.53376,0.34324,0.84092,0.99982,1,0.995,0.98998,0.99982,1,0.995,0.89201,0.22006,0.43318,0.14966,0.75684,0.008218,0.008218,0.008218
38,2189.44,0.38455,0.53528,0.34407,0.8399,0.99977,1,0.995,0.98883,0.99977,1,0.995,0.89149,0.22165,0.42259,0.15695,0.75647,0.0081685,0.0081685,0.0081685
39,2244.13,0.38458,0.53441,0.3419,0.83886,0.999,0.99928,0.995,0.98514,0.999,0.99928,0.995,0.89466,0.23334,0.41671,0.15301,0.75732,0.008119,0.008119,0.008119
40,2298.93,0.3805,0.53932,0.33111,0.83894,0.99981,0.99943,0.995,0.98787,0.99981,0.99943,0.995,0.89796,0.21891,0.4117,0.14819,0.75706,0.0080695,0.0080695,0.0080695
41,2353.76,0.38415,0.53166,0.32921,0.83825,0.99978,1,0.995,0.98864,0.99978,1,0.995,0.89781,0.2126,0.41586,0.14436,0.75517,0.00802,0.00802,0.00802
42,2408.99,0.38022,0.53569,0.33332,0.83952,0.99946,0.99928,0.995,0.98542,0.99946,0.99928,0.995,0.88873,0.23595,0.43665,0.14812,0.75766,0.0079705,0.0079705,0.0079705
43,2463.53,0.3783,0.53408,0.32657,0.83976,0.99907,0.99928,0.99493,0.98625,0.99907,0.99928,0.99493,0.89501,0.2286,0.43113,0.14842,0.75636,0.007921,0.007921,0.007921
44,2518.75,0.37872,0.53525,0.33136,0.83868,0.99982,1,0.995,0.98848,0.99982,1,0.995,0.89352,0.22213,0.42143,0.14499,0.75648,0.0078715,0.0078715,0.0078715
45,2573.79,0.37508,0.52865,0.32342,0.83601,0.9997,0.99996,0.995,0.99064,0.9997,0.99996,0.995,0.90185,0.20673,0.41602,0.14575,0.75504,0.007822,0.007822,0.007822
46,2629.12,0.37259,0.52313,0.32015,0.83679,0.99962,0.99985,0.995,0.9888,0.99962,0.99985,0.995,0.89534,0.21172,0.42157,0.14431,0.75494,0.0077725,0.0077725,0.0077725
47,2684.48,0.37131,0.52011,0.31886,0.83726,0.99969,1,0.995,0.98619,0.99969,1,0.995,0.89329,0.2291,0.42683,0.14558,0.75649,0.007723,0.007723,0.007723
48,2739.26,0.36667,0.52228,0.3168,0.83802,0.99983,1,0.995,0.9877,0.99983,1,0.995,0.89462,0.21869,0.41665,0.13801,0.75537,0.0076735,0.0076735,0.0076735
49,2793.8,0.36893,0.51373,0.30951,0.83606,0.99982,1,0.995,0.98854,0.99982,1,0.995,0.90055,0.22142,0.40934,0.13764,0.75587,0.007624,0.007624,0.007624
50,2848.32,0.36725,0.52163,0.30983,0.83775,0.9998,1,0.995,0.98888,0.9998,1,0.995,0.8949,0.21433,0.42039,0.13876,0.75537,0.0075745,0.0075745,0.0075745
51,2903.31,0.37073,0.5189,0.31368,0.83429,0.9998,1,0.995,0.98853,0.9998,1,0.995,0.90238,0.22734,0.40354,0.14144,0.75698,0.007525,0.007525,0.007525
52,2958.32,0.3622,0.51446,0.30285,0.83669,0.99979,1,0.995,0.98844,0.99979,1,0.995,0.90006,0.21966,0.41252,0.13781,0.75459,0.0074755,0.0074755,0.0074755
53,3013.25,0.36416,0.51531,0.30453,0.83756,0.99907,0.99928,0.99429,0.98904,0.99907,0.99928,0.99429,0.89625,0.21669,0.40296,0.13963,0.75508,0.007426,0.007426,0.007426
54,3068.15,0.36321,0.52654,0.30365,0.83367,0.99914,0.99933,0.995,0.98923,0.99914,0.99933,0.995,0.90022,0.2066,0.40378,0.13378,0.75518,0.0073765,0.0073765,0.0073765
55,3122.33,0.36073,0.51861,0.29978,0.8352,0.999,0.99934,0.995,0.9878,0.999,0.99934,0.995,0.89993,0.22223,0.41011,0.13799,0.75569,0.007327,0.007327,0.007327
