epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
30,2218.86,0.40736,0.58027,0.37418,0.8429,0.99954,0.99942,0.995,0.98206,0.99954,0.99942,0.995,0.88669,0.25343,0.47115,0.16898,0.76007,0.0085645,0.0085645,0.0085645
31,2281.24,0.40546,0.56645,0.36264,0.84398,0.99967,0.99926,0.995,0.98499,0.99967,0.99926,0.995,0.88836,0.24063,0.46806,0.16731,0.75957,0.008515,0.008515,0.008515
32,2344.67,0.40226,0.57413,0.36582,0.84161,0.99966,0.9995,0.995,0.98518,0.99966,0.9995,0.995,0.89792,0.24562,0.43628,0.16249,0.75949,0.0084655,0.0084655,0.0084655
33,2407.63,0.40294,0.56734,0.37044,0.84268,0.99975,1,0.995,0.97652,0.99975,1,0.995,0.89821,0.27059,0.44115,0.16668,0.7617,0.008416,0.008416,0.008416
34,2470.32,0.40037,0.55917,0.36621,0.83974,0.99973,1,0.995,0.98426,0.99973,1,0.995,0.88973,0.24146,0.4641,0.15625,0.7589,0.0083665,0.0083665,0.0083665
35,2533.39,0.39168,0.55797,0.35274,0.83943,0.99889,0.99929,0.995,0.9883,0.99889,0.99929,0.995,0.89986,0.234,0.43762,0.15684,0.75786,0.008317,0.008317,0.008317
36,2596.17,0.4006,0.5763,0.35819,0.84049,0.99978,0.99943,0.995,0.9829,0.99978,0.99943,0.995,0.89647,0.24681,0.44029,0.15963,0.75944,0.0082675,0.0082675,0.0082675
37,2659.46,0.39177,0.5575,0.35402,0.84132,0.99978,0.99871,0.995,0.98409,0.99978,0.99871,0.995,0.8881,0.22917,0.44525,0.15239,0.75672,0.008218,0.008218,0.008218
38,2722.49,0.39029,0.55338,0.3523,0.83894,0.99874,0.99874,0.995,0.98594,0.99874,0.99874,0.995,0.89513,0.23294,0.43115,0.15637,0.75753,0.0081685,0.0081685,0.0081685
39,2785.66,0.39133,0.55143,0.3484,0.84017,0.9994,0.99938,0.995,0.98459,0.9994,0.99938,0.995,0.90105,0.23709,0.4178,0.15469,0.75811,0.008119,0.008119,0.008119
40,2848.25,0.38713,0.55574,0.34138,0.83955,0.99977,0.99943,0.995,0.99008,0.99977,0.99943,0.995,0.89809,0.21879,0.42789,0.1454,0.75709,0.0080695,0.0080695,0.0080695
41,2911.79,0.39054,0.54818,0.34392,0.83968,0.99974,0.99943,0.995,0.98806,0.99974,0.99943,0.995,0.8973,0.22684,0.42934,0.1584,0.75742,0.00802,0.00802,0.00802
